symptom_text,disease
breathlessness with fatigue,Anemia
joint pain and headache,Dengue
itchy bumps on skin,Chickenpox
nausea with loose motions,Gastroenteritis
chest pain when breathing,Pneumonia
high fever with eye pain for past few days,Dengue
shivering and high fever,Malaria
frequent sneezing with cough,Common Cold
shortness of breath at night,Asthma
pain on one side of head,Migraine
fever with itchy spots,Chickenpox
trembling hands,Hyperthyroidism
fever and fatigue,Typhoid
difficulty breathing,Asthma
breathing difficulty and fever,COVID-19
sweating and tremors,Hyperthyroidism
mild fever with runny nose for past few days,Common Cold
I have weight loss and fatigue,Tuberculosis
Recently developed pulsating headache,Migraine
excessive urination at night,Diabetes
stuffy nose and sore throat,Common Cold
dizziness and headache for past few days,Hypertension
I have fever with rash,Dengue
rash with fever,Chickenpox
I have high fever with rash,Measles
Suffering from joint swelling and pain,Arthritis
bladder discomfort,Urinary Tract Infection
Suffering from rash with fever,Measles
watery diarrhea,Gastroenteritis
shortness of breath,COVID-19
Feeling nervousness and anxiety,Hyperthyroidism
headache and weakness,Typhoid
irregular heartbeat,Hypertension
persistent cough lasting weeks since yesterday,Tuberculosis
Recently developed fever with dry cough,COVID-19
Recently developed fever with cough and rash,Measles
pelvic pain,Urinary Tract Infection
mild fever with runny nose,Common Cold
Suffering from fatigue and weakness,Anemia
frequent urge to urinate,Urinary Tract Infection
body ache with high temperature for past few days,Influenza
wheezing with cough,Bronchitis
pulsating headache,Migraine
stomach cramps and fever,Gastroenteritis
blurred vision and thirst,Diabetes
tiredness with increased thirst,Diabetes
severe fatigue and fever,Influenza
fatigue and weight gain,Hypothyroidism
dry skin and hair loss,Hypothyroidism
fever with dry cough,COVID-19
fever with body ache,Malaria
abdominal pain with diarrhea,Gastroenteritis
weakness and pallor,Anemia
shortness of breath and cough,Bronchitis
cough with phlegm,Pneumonia
lower abdominal pain,Urinary Tract Infection
weight gain with tiredness since yesterday,Hypothyroidism
throat pain and runny nose,Common Cold
red spots turning to blisters since yesterday,Chickenpox
weight gain with tiredness,Hypothyroidism
burning while urinating since yesterday,Urinary Tract Infection
spots behind ears,Measles
red rash spreading since yesterday,Measles
Recently developed fever and sweating episodes,Malaria
chest pain with cough,Tuberculosis
fever with loss of appetite,Typhoid
high fever with cough,Pneumonia
diarrhea and vomiting since yesterday,Gastroenteritis
vomiting with stomach pain,Gastroenteritis
fever with body ache,COVID-19
I have constant thirst,Diabetes
Experiencing coughing up phlegm,Bronchitis
fatigue with pale skin,Anemia
burning while urinating,Urinary Tract Infection
fever and fatigue,COVID-19
Experiencing sore throat with cough,Common Cold
excessive urination at night since yesterday,Diabetes
I have chest discomfort and cough,Bronchitis
pounding in chest,Hypertension
persistent productive cough,Bronchitis
cough with nasal discharge,Common Cold
I have spots behind ears,Measles
high fever with joint pain,Dengue
chills with headache,Malaria
cloudy urine since yesterday,Urinary Tract Infection
chest discomfort,Hypertension
Feeling cough with phlegm,Pneumonia
rapid pulse with nervousness,Hyperthyroidism
Having nausea and stomach upset,Gastroenteritis
constipation and fatigue,Hypothyroidism
headache with sensitivity to light for past few days,Migraine
Experiencing rash with fever,Chickenpox
dry cough with fever,COVID-19
fever with runny nose and rash,Measles
chest discomfort and cough,Bronchitis
Suffering from fever with chest pain,Pneumonia
breathing difficulty with exercise,Asthma
joint pain with movement,Arthritis
high fever with headache,Influenza
rash starting on face,Measles
I have shortness of breath,Anemia
body pain and chills,Influenza
high fever lasting days,Typhoid
difficulty breathing and cough,Pneumonia
vomiting and abdominal pain,Gastroenteritis
Suffering from high fever with joint pain,Dengue
cold sensitivity for past few days,Hypothyroidism
loose stools and fever,Gastroenteritis
productive cough with fever,Pneumonia
fever chills and weakness,Influenza
high fever with body ache,Influenza
red spots spreading from face,Measles
joint swelling and pain,Arthritis
chest pain and fever,Pneumonia
wheezing after exertion,Asthma
stomach cramps with nausea since yesterday,Gastroenteritis
severe headache and fever,Dengue
muscle pain with fever,Influenza
vision problems,Hypertension
Experiencing periodic fever attacks,Malaria
I have dry cough with fever,COVID-19
chest tightness and cough,Asthma
frequent urination with pain,Urinary Tract Infection
fever with cough and rash,Measles
breathlessness with cough,Asthma
severe body ache and fever,Dengue
dizziness and fatigue,Anemia
blisters all over body,Chickenpox
Having loose stools and fever,Gastroenteritis
stiff joints after rest,Arthritis
measles rash with cough,Measles
headache with visual disturbances,Migraine
burning sensation during urination since yesterday,Urinary Tract Infection
heat intolerance,Hyperthyroidism
frequent urge to urinate since yesterday,Urinary Tract Infection
persistent cough with weight loss,Tuberculosis
Feeling severe body ache and fever,Dengue
cough lasting more than 3 weeks,Tuberculosis
shortness of breath,Anemia
loss of smell and taste,COVID-19
wheezing with chest pain since yesterday,Asthma
morning stiffness in joints,Arthritis
joint pain with high temperature,Dengue
Recently developed fatigue and weight gain,Hypothyroidism
sluggishness and weight gain,Hypothyroidism
Having dry skin and hair loss,Hypothyroidism
cloudy urine,Urinary Tract Infection
feeling cold and tired,Hypothyroidism
painful urination,Urinary Tract Infection
Suffering from fever with skin rash,Chickenpox
Experiencing prolonged fever,Typhoid
cold sensitivity,Hypothyroidism
weight loss and sweating,Hyperthyroidism
anxiety with weight loss,Hyperthyroidism
nasal congestion and headache,Common Cold
strong urge to urinate,Urinary Tract Infection
prolonged high temperature,Typhoid
increased heart rate,Hyperthyroidism
joint pain and stiffness,Arthritis
Suffering from increased thirst and hunger,Diabetes
joint stiffness in morning since yesterday,Arthritis
swelling in hands and feet,Arthritis
nausea and stomach upset,Gastroenteritis
fever with vomiting,Malaria
headache with sensitivity to light,Migraine
Experiencing persistent cough with mucus,Bronchitis
cough with colored mucus,Bronchitis
skin eruptions with itching,Chickenpox
chest pain when breathing for past few days,Pneumonia
night sweats and fever,Tuberculosis
tiredness and shortness of breath,Anemia
shortness of breath for past few days,Hypertension
Suffering from itchy rash with blisters,Chickenpox
persistent cough,Asthma
Experiencing fever and extreme fatigue,Influenza
severe headache with vomiting,Migraine
Having frequent hunger with weight loss,Diabetes
fever with digestive issues,Typhoid
chills with muscle pain,Influenza
body pain with fever,Dengue
high temperature with weakness,Malaria
high fever with rash,Measles
difficulty breathing,COVID-19
I have runny nose and sneezing,Common Cold
coughing up blood,Tuberculosis
fever and fatigue for past few days,COVID-19
chest pain with headache,Hypertension
shortness of breath and fever,Pneumonia
Suffering from joint pain and headache,Dengue
fever and red skin rash,Measles
chest tightness since yesterday,Asthma
increased thirst and hunger,Diabetes
headache with light sensitivity,Migraine
I have nosebleeds with headache,Hypertension
fever with night sweats,Tuberculosis
sweating with fever,Malaria
trembling hands since yesterday,Hyperthyroidism
loss of taste and smell,COVID-19
Recently developed high fever with chills,Malaria
runny nose and sneezing,Common Cold
