symptom_text,disease
severe infection spreading through body,Sepsis
Feeling stiff neck cannot touch chin to chest,Meningitis
Feeling chest soreness and feverish,Pneumonia
abdominal bloating with gluten since yesterday,Celiac Disease
food allergy symptoms gut upset bumps and it's getting worse that began suddenly,Allergic Reaction
Feeling stomach pain improves with antacids,Peptic Ulcer
fever with abdominal pain,Typhoid
bitter taste acid coming up,GERD
jaundice with abdominal pain yellowing skin,Gallstones
Recently developed Recently developed weight loss and sweating,Hyperthyroidism
red itchy welts on skin and it's getting worse since yesterday,Allergic Reaction
seasonal allergies sneezing congestion,Allergic Reaction
I've been having joint ache and reduced mobility since this morning,Arthritis
I have dry cough with fever,COVID-19
Recently developed sudden pain in upper right abdomen,Gallstones
breathing difficulty with exercise,Asthma
burning sensation behind breastbone,GERD
diarrhea and vomiting since yesterday,Gastroenteritis
Feeling Feeling wheezing with hacking cough,Bronchitis
high fever with rapid heart rate,Sepsis
nosebleeds with headache,Hypertension
severe headache with puking since yesterday,Migraine
painful urination that won't go away,Urinary Tract Infection
I'm experiencing postnasal drip with facial pressure,Sinusitis
drug allergy rash itching swelling since yesterday,Allergic Reaction
angina attack during physical activity for a while now,Angina
swollen joints since yesterday,Arthritis
loss of taste and smell,COVID-19
Started experiencing back pain from fractured vertebrae,Osteoporosis
Recently developed burning while urinating since yesterday,Urinary Tract Infection
I'm experiencing joint pain and stiffness,Arthritis
difficulty breathing,Asthma
exercise makes fatigue much worse,Chronic Fatigue Syndrome
I'm experiencing painful swallowing with fever,Tonsillitis
itchy rash spreading rapidly all over,Anaphylaxis
Started experiencing difficulty breathing for past few days,COVID-19
blood in urine with sharp back discomfort for the past few days,Kidney Stones
can't get comfortable pain in kidney region since yesterday,Kidney Stones
stomach pain wakes me at night and it's getting worse,Peptic Ulcer
I have acute gout flare big toe,Gout
Suffering from peptic ulcer symptoms abdomen pain burning,Peptic Ulcer
cold sensitivity,Hypothyroidism
confusion can't understand what people say,Stroke
productive cough with fever,Pneumonia
Suffering from allergic response hives itching swelling,Allergic Reaction
dizziness and pain in head that won't go away,Hypertension
Experiencing loss of taste and smell that won't go away,COVID-19
Started experiencing fever with loss of appetite,Typhoid
knee swelling pain walking for a while now,Osteoarthritis
chest ache and fatigue for the past few days,Tuberculosis
dry skin and hair loss,Hypothyroidism
Been dealing with I have runny nose and sneezing,Common Cold
chest tightness during exercise,Angina
I've been having body aches pain exhaustion,Fibromyalgia
enlarged tonsils with pus since yesterday,Tonsillitis
vertebral compression fracture pain for a while now,Osteoporosis
Been dealing with irritability with light sensitivity fever,Meningitis
Experiencing frequent urination for the past few days,Diabetes
Feeling can't move right side of body suddenly for several days,Stroke
chronic widespread musculoskeletal pain,Fibromyalgia
left side numbness facial droop for a while now,Stroke
Having issues with allergic symptoms sneezing itching,Allergic Reaction
throat closing up can't swallow,Anaphylaxis
Feeling sharp throbbing head ache and it's getting worse,Migraine
bowel habits changed pain cramping,Irritable Bowel Syndrome
I have red spots spreading from face,Measles
rapid heartbeat,Hyperthyroidism
joint stiffness in morning since yesterday,Arthritis
Suffering from cough with phlegm,Pneumonia
tonsillitis symptoms throat pain fever for a while now,Tonsillitis
trembling hands since yesterday,Hyperthyroidism
bloating with abdominal discomfort since yesterday,Irritable Bowel Syndrome
Having difficulty breathing,Asthma
allergic reaction to food medication,Allergic Reaction
Started experiencing abdominal soreness eating wheat products,Celiac Disease
osteoarthritis symptoms articulation ache stiffness since yesterday,Osteoarthritis
Been dealing with upper abdominal pain relieved by eating,Peptic Ulcer
I have itchy bumps spreading rapidly all over,Anaphylaxis
Recently developed temperature and sweating episodes for a while now,Malaria
tiredness with increased thirst,Diabetes
Feeling hives breaking out after eating since yesterday,Allergic Reaction
trembling hands since yesterday for the past few days,Hyperthyroidism
red shiny skin over swollen joint,Gout
Experiencing hot and extreme fatigue since yesterday,Influenza
itchy bumps on skin,Chickenpox
Having issues with chest pain with head pain,Hypertension
I've been having high fever with sensitivity to light,Meningitis
feeling faint after bee sting for a while now,Anaphylaxis
stomach cramps with nausea,Gastroenteritis
fever and extreme fatigue,Influenza
widespread musculoskeletal hurt chronic for the past few days,Fibromyalgia
malnutrition with digestive problems,Celiac Disease
Started experiencing fever with rash,Dengue
headache with light sensitivity,Migraine
Feeling Recently developed soreness on one side of head,Migraine
I have stiff joints after rest,Arthritis
gallstone attack severe right upper belly pain since yesterday,Gallstones
trembling hands,Hyperthyroidism
tender points painful to touch,Fibromyalgia
chest discomfort spreading to shoulders and it's getting worse,Angina
temperature with constipation and it's getting worse,Typhoid
easily fractured bones osteoporosis,Osteoporosis
Feeling fatigue with chronic diarrhea,Celiac Disease
sore throat fever bad breath and it's getting worse,Tonsillitis
Having issues with back discomfort between shoulders with nausea,Gallstones
Having constipation and fatigue,Hypothyroidism
Suffering from watery diarrhea,Gastroenteritis
Started experiencing joint painful stiffness morning lasting hours,Rheumatoid Arthritis
Feeling cough with loss of taste recently,COVID-19
chills with headache,Malaria
Feeling swelling in hands and feet for several days,Arthritis
gout attack big toe excruciating pain for a while now,Gout
Started experiencing weight loss and sweating,Hyperthyroidism
pain in multiple joints,Arthritis
tonsillitis red swollen tonsils,Tonsillitis
big toe joint extremely painful,Gout
Having weakness and pallor since yesterday,Anemia
fever chills and weakness for a while now,Influenza
Started experiencing altered mental status with fever for a while,Meningitis
