symptom_text,disease
throat pain fever swollen glands,Tonsillitis
mucus in stool with cramping,Irritable Bowel Syndrome
spastic colon abdominal cramping,Irritable Bowel Syndrome
difficulty breathing,Hypertension
fatigue with pale skin,Anemia
infected tonsils painful swallowing,Tonsillitis
chronic abdominal pain bowel issues,Irritable Bowel Syndrome
shortness of breath with chest tightness,Angina
knee pain when walking stairs,Osteoarthritis
Experiencing fever and extreme fatigue,Influenza
arm weakness unable to raise both arms,Stroke
fever with digestive issues,Typhoid
high fever with rash,Measles
I have spots behind ears,Measles
vision problems,Hypertension
sudden pain near navel that moves to lower right,Appendicitis
sudden numbness on one side of body,Stroke
strong urge to urinate,Urinary Tract Infection
fever with body ache,COVID-19
fever with itchy spots,Chickenpox
sudden drop in blood pressure dizziness,Anaphylaxis
Recently developed fever and sweating episodes,Malaria
crushing chest pain pressure discomfort,Heart Attack
cough with phlegm,Pneumonia
sleep problems with body pain,Fibromyalgia
sinusitis symptoms congestion pressure,Sinusitis
chronic fatigue syndrome tired all time,Chronic Fatigue Syndrome
recurring chest pain with activity,Angina
swollen tongue and lips trouble breathing,Anaphylaxis
headache and weakness,Typhoid
Experiencing fever with constipation,Typhoid
lower abdominal pain,Urinary Tract Infection
fever and chesty cough,Pneumonia
nosebleeds with headache,Hypertension
CFS symptoms severe fatigue weakness,Chronic Fatigue Syndrome
fever with bleeding gums,Dengue
fever chills and weakness,Influenza
confusion can't understand what people say,Stroke
wheezing and cough,Asthma
severe reaction to food medication insect,Anaphylaxis
red shiny skin over swollen joint,Gout
rash with fever,Measles
high fever with body ache,Influenza
excessive urination at night since yesterday,Diabetes
wheezing with chest pain,Asthma
itchy bumps on skin,Chickenpox
sinus infection facial pain congestion,Sinusitis
chest pain after lying down,GERD
red bumps turning to blisters,Chickenpox
fibromyalgia symptoms pain fatigue,Fibromyalgia
white spots on tonsils sore throat,Tonsillitis
headache with sensitivity to light for past few days,Migraine
fever with vomiting,Malaria
Having difficulty breathing and cough,Pneumonia
Feeling nervousness and anxiety,Hyperthyroidism
shivering extreme cold with fever,Sepsis
Having frequent hunger with weight loss,Diabetes
speech difficulty slurred words confused,Stroke
blurred vision and thirst,Diabetes
body pain and chills,Influenza
pounding in chest,Hypertension
burning sensation during urination,Urinary Tract Infection
dizziness and headache,Hypertension
joint stiffness in morning,Arthritis
skin eruptions with itching,Chickenpox
peptic ulcer symptoms stomach pain burning,Peptic Ulcer
paralysis on one side of body sudden,Stroke
passing kidney stones painful urination blood,Kidney Stones
slow healing wounds,Diabetes
wheezing and cough for past few days,Asthma
fever with loss of appetite,Typhoid
stomach pain worse when hungry,Peptic Ulcer
fever with dry cough,COVID-19
swollen lymph nodes neck throat pain,Tonsillitis
nausea with severe pain in kidney area,Kidney Stones
frequent urge to urinate,Urinary Tract Infection
wheezing difficulty breathing tight chest,Anaphylaxis
joint pain and stiffness,Arthritis
shivering and high fever,Malaria
headache with nausea for past few days,Migraine
Suffering from chest pain with headache,Hypertension
Experiencing persistent cough with mucus,Bronchitis
chest pain and fatigue,Tuberculosis
postnasal drip with facial pressure,Sinusitis
angina attack during physical activity,Angina
Having dry skin and hair loss,Hypothyroidism
Feeling cough with phlegm,Pneumonia
abdominal pain with bowel changes,Irritable Bowel Syndrome
intestinal damage from gluten,Celiac Disease
IBS symptoms pain bloating diarrhea,Irritable Bowel Syndrome
productive cough with fever,Pneumonia
irritability with light sensitivity fever,Meningitis
wheezing with cough,Bronchitis
itchy rash with blisters,Chickenpox
GERD symptoms heartburn acid reflux,GERD
weight gain with tiredness since yesterday,Hypothyroidism
Feeling rapid heartbeat,Hyperthyroidism
heat intolerance,Hyperthyroidism
headache nausea vomiting confused,Meningitis
itchy rash spreading rapidly all over,Anaphylaxis
productive cough,Bronchitis
I have high fever with rash,Measles
joint pain and reduced mobility,Arthritis
burning sensation during urination since yesterday,Urinary Tract Infection
stomach cramps with gas bloating,Irritable Bowel Syndrome
Recently developed swollen joints,Arthritis
high fever with joint pain,Dengue
heartburn worse at night lying,GERD
headache with light sensitivity,Migraine
I have chest discomfort and cough,Bronchitis
degenerative joint disease pain,Osteoarthritis
I have constant thirst,Diabetes
chest pain or discomfort with exertion,Angina
fever chills and nausea,Malaria
malnutrition with digestive problems,Celiac Disease
headache with visual disturbances,Migraine
burning while urinating since yesterday,Urinary Tract Infection
fatigue even after sleeping,Fibromyalgia
pain started around belly button moved to right,Appendicitis
excruciating flank pain that comes in waves,Kidney Stones
pain subsides within 5 minutes of rest,Angina
difficulty swallowing tonsils swollen,Tonsillitis
painful urination,Urinary Tract Infection
weight loss and fatigue,Tuberculosis
joint stiffness in morning brief,Osteoarthritis
swollen tonsils with white patches,Tonsillitis
Recently developed pale skin,Anemia
fatigue with chronic diarrhea,Celiac Disease
persistent cough with weight loss,Tuberculosis
joint pain improves with rest,Osteoarthritis
shortness of breath,COVID-19
Feeling wheezing with cough,Bronchitis
difficulty swallowing with heartburn,GERD
sepsis symptoms fever confusion rapid breathing,Sepsis
muscle weakness and fatigue,Hypothyroidism
chest tightness with shortness of breath,Heart Attack
chronic diarrhea malabsorption,Celiac Disease
abdominal pain worse with coughing or walking,Appendicitis
sensitive to touch pressure pain,Fibromyalgia
swollen tender warm joints both hands,Rheumatoid Arthritis
bone weakness fractures with minimal trauma,Osteoporosis
severe right abdominal pain with vomiting,Appendicitis
tonsillitis red swollen tonsils,Tonsillitis
celiac disease gluten intolerance,Celiac Disease
stroke symptoms face drooping arm weakness,Stroke
debilitating fatigue brain fog,Chronic Fatigue Syndrome
persistent cough lasting weeks,Tuberculosis
nausea and vomiting with right side pain,Gallstones
sudden severe pain below breastbone,Gallstones
vomiting and abdominal pain,Gastroenteritis
wheezing after exertion,Asthma
rapid heartbeat,Hyperthyroidism
sneezing and watery eyes,Common Cold
