symptom_text,disease
food allergy symptoms gut upset bumps and it's getting worse that began suddenly,Allergic Reaction
red itchy welts on skin and it's getting worse since yesterday,Allergic Reaction
seasonal allergies sneezing congestion,Allergic Reaction
drug allergy rash itching swelling since yesterday,Allergic Reaction
Suffering from allergic response hives itching swelling,Allergic Reaction
Having issues with allergic symptoms sneezing itching,Allergic Reaction
allergic reaction to food medication,Allergic Reaction
Feeling hives breaking out after eating since yesterday,Allergic Reaction
I have mild swelling with itching,Allergic Reaction
sneezing runny nose watery eyes for a while now,Allergic Reaction
swelling of lips face throat,Allergic Reaction
Been dealing with mild swelling with itching since this morning,Allergic Reaction
allergic response hives itching swelling and it's getting worse,Allergic Reaction
Suffering from skin rash red itchy bumps for the last couple of days,Allergic Reaction
itching without rash after contact,Allergic Reaction
allergic symptoms sneezing itching,Allergic Reaction
drug allergy rash itching swelling,Allergic Reaction
Having issues with seasonal allergies sneezing congestion,Allergic Reaction
Started experiencing itching without rash after contact for a while,Allergic Reaction
skin rash red itchy bumps,Allergic Reaction
Feeling contact dermatitis red itchy skin rash,Allergic Reaction
red itchy welts on skin since yesterday,Allergic Reaction
food allergy symptoms stomach upset rash,Allergic Reaction
Feeling swelling of lips face throat,Allergic Reaction
itchy rash hives after exposure,Allergic Reaction
sneezing runny nose watery eyes that won't go away,Allergic Reaction
I have itching without rash after contact,Allergic Reaction
skin bumps red itchy bumps for the past few days,Allergic Reaction
Recently developed itchy rash hives after exposure,Allergic Reaction
I have hives breaking out after eating,Allergic Reaction
sneezing runny nose watery eyes,Allergic Reaction
Feeling allergic reaction to food medication,Allergic Reaction
red itchy welts on skin,Allergic Reaction
I've been having itchy red spots hives after exposure,Allergic Reaction
allergic response hives itching swelling,Allergic Reaction
hives breaking out after eating,Allergic Reaction
mild swelling with itching,Allergic Reaction
Having issues with swelling of lips face throat,Allergic Reaction
I have food allergy symptoms stomach upset rash that started today,Allergic Reaction
allergic reaction to food medication and it's getting worse,Allergic Reaction
I have allergic symptoms sneezing itching,Allergic Reaction
Been dealing with seasonal allergies sneezing congestion,Allergic Reaction
contact dermatitis red itchy skin rash for a while now,Allergic Reaction
Recently developed drug allergy rash itching swelling,Allergic Reaction
contact dermatitis red itchy rash,Allergic Reaction
Experiencing seasonal allergies sneezing congestion,Allergic Reaction
Experiencing drug allergy rash itching swelling since yesterday,Allergic Reaction
Suffering from allergic response hives itching inflammation,Allergic Reaction
Having issues with allergic symptoms sneezing itching started 1 week ago,Allergic Reaction
allergic reaction to food medication ongoing for couple weeks,Allergic Reaction
Feeling hives breaking out after eating since yesterday especially at night,Allergic Reaction
I have mild swelling with itching suddenly appeared,Allergic Reaction
sneezing runny nose watery eyes for a while now since 1 month ago,Allergic Reaction
Been dealing with mild puffiness with itching since this morning,Allergic Reaction
allergic response hives itching swelling and it's getting worse worsening gradually,Allergic Reaction
Suffering from skin hives red itchy bumps for the last couple of days,Allergic Reaction
Suffering from skin rash red itchy bumps for the last couple of days lasting 3 days,Allergic Reaction
I've been having itching without rash after contact,Allergic Reaction
I suffer from allergic symptoms sneezing itching,Allergic Reaction
drug allergy skin eruption itching swelling,Allergic Reaction
I've been having skin rash red itchy bumps,Allergic Reaction
red itchy welts on skin since yesterday ongoing for 3 days,Allergic Reaction
food allergy symptoms stomach upset skin irritation,Allergic Reaction
I've noticed Feeling swelling of lips face throat since 2 weeks ago,Allergic Reaction
itchy rash hives after exposure ongoing for several days,Allergic Reaction
sneezing runny nose watery eyes that won't go away for the past 2 weeks,Allergic Reaction
I have itching without rash after contact since 2 weeks ago,Allergic Reaction
skin bumps red itchy bumps for the past few days worsening gradually,Allergic Reaction
skin bumps red itchy bumps for the past few days comes and goes,Allergic Reaction
sneezing runny nose watery eyes gets worse after eating,Allergic Reaction
There is red itchy welts on skin for the past couple weeks,Allergic Reaction
allergic response hives itching swelling suddenly appeared,Allergic Reaction
allergic response hives itching swelling ongoing for 3 days,Allergic Reaction
hives breaking out after eating gets worse after eating,Allergic Reaction
mild inflammation with itching,Allergic Reaction
I have food allergy symptoms stomach upset skin redness that started today,Allergic Reaction
I have allergic symptoms sneezing itching suddenly appeared,Allergic Reaction
I'm experiencing Been dealing with seasonal allergies sneezing congestion worse in the morning,Allergic Reaction
I've noticed Been dealing with seasonal allergies sneezing congestion,Allergic Reaction
contact dermatitis red itchy skin skin redness for a while now for the past several days triggered by activity,Allergic Reaction
contact dermatitis red itchy skin rash for a while now for the past 1 month,Allergic Reaction
Recently developed drug allergy red spots itching swelling,Allergic Reaction
Recently developed drug allergy rash itching swelling began 1 month back,Allergic Reaction
contact dermatitis red itchy rash lasting 1 week,Allergic Reaction
food allergy symptoms gut upset bumps and it's getting worse that began suddenly started couple weeks ago,Allergic Reaction
food allergy symptoms gut upset bumps and it's getting worse that began suddenly triggered by activity,Allergic Reaction
seasonal allergies sneezing congestion since 1 month ago worse in the morning,Allergic Reaction
There is drug allergy rash itching swelling since yesterday began 3 days back,Allergic Reaction
Suffering from allergic response hives itching swelling started 1 week ago,Allergic Reaction
allergic reaction to food medication since several days ago,Allergic Reaction
allergic reaction to food medication lasting 1 month,Allergic Reaction
I have mild edema with itching,Allergic Reaction
Experiencing I have mild swelling with itching,Allergic Reaction
sneezing runny nose watery eyes for a while now began few days back,Allergic Reaction
swelling of lips face throat started several days ago,Allergic Reaction
I have swelling of lips face throat,Allergic Reaction
Been dealing with gentle swelling with itching since this morning lasting 2 days,Allergic Reaction
Been dealing with gentle edema with itching since this morning,Allergic Reaction
Been dealing with mild swelling with itching since this morning lasting 2 weeks,Allergic Reaction
allergic response hives itching inflammation and it's getting worse,Allergic Reaction
itchy rash spreading rapidly all over,Anaphylaxis
throat closing up can't swallow,Anaphylaxis
I have itchy bumps spreading rapidly all over,Anaphylaxis
feeling faint after bee sting for a while now,Anaphylaxis
Been dealing with anaphylactic shock sudden severe reaction,Anaphylaxis
I have unable to breathing after allergen exposure,Anaphylaxis
face swelling difficulty breathing hives,Anaphylaxis
feeling faint after bee sting for the past few days,Anaphylaxis
face swelling difficulty breathing hives for the past few days,Anaphylaxis
Started experiencing rapid pulse with dizziness after eating that started today,Anaphylaxis
difficulty breathing after allergen exposure and it's getting worse,Anaphylaxis
bad reaction to food medication insect for a while now,Anaphylaxis
swollen tongue and lips trouble breathing,Anaphylaxis
anaphylactic shock sudden severe reaction since yesterday,Anaphylaxis
Started experiencing swollen tongue and lips trouble breathing,Anaphylaxis
I have itchy skin rash spreading rapidly all over,Anaphylaxis
anaphylaxis symptoms throat swelling breathing trouble,Anaphylaxis
wheezing difficulty breathing tight chest,Anaphylaxis
Recently developed swollen tongue and lips trouble respiration,Anaphylaxis
hives all over body itching swelling and it's getting worse recently,Anaphylaxis
anaphylactic shock sudden severe reaction,Anaphylaxis
rapid pulse with dizziness after eating that won't go away,Anaphylaxis
sudden drop in blood pressure dizziness,Anaphylaxis
Suffering from severe allergic reaction neck swelling that started today,Anaphylaxis
severe reaction to food medication insect,Anaphylaxis
rapid pulse with dizziness after eating,Anaphylaxis
severe allergic reaction throat swelling,Anaphylaxis
Having issues with throat closing up can't swallow,Anaphylaxis
sudden drop in blood pressure dizziness for a while now,Anaphylaxis
face swelling hard to breathing hives that won't go away,Anaphylaxis
Suffering from anaphylaxis symptoms neck swelling breath trouble since this morning,Anaphylaxis
Been dealing with hives all over body itching swelling,Anaphylaxis
Recently developed anaphylaxis symptoms throat swelling respiration trouble,Anaphylaxis
Having issues with sudden drop in blood pressure dizziness,Anaphylaxis
